BBC6521,Project (JP)
ECS659U,Neural Networks and Deep Learning
ECS660U,Modelling and Performance
ECS661A,User Experience Design
ECS661P,User Experience Design
ECS661U,User Experience Design
ECS662U,Electric and Hybrid Powertrain for Transport
ECS671U,Semi-structured Data Engineering
ECS698A,End-Point Assessment
ECS698U,End-Point Assessment
ECS7001P,Neural Networks and NLP
ECS7002P,Artificial Intelligence in Games
ECS7003P,Multi-platform Game Development
ECS7004P,Advanced Robotics Systems (Robotics III)
ECS7005A,Risk and Decision-Making for Data Science and AI
ECS7005P,Risk and Decision-Making for Data Science and AI
ECS7006P,Music Informatics
ECS7006U,Music Informatics
ECS7007P,Research Methods and Responsible Innovation
ECS7008P,Modelling and Performance
ECS7008U,Modelling and Performance
ECS7009P,Introduction to Software Engineering
ECS700P,Electronic Sensing
ECS700U,Electronic Sensing
ECS7010P,Computer Architecture and Networks
ECS7011P,Quantum Programming
ECS7011U,Quantum Programming
ECS7012P,Music and Audio Programming
ECS7012U,Music and Audio Programming
ECS7013P,Deep Learning for Audio and Music
ECS7014P,Advanced Game Development
ECS7014W,End Point Assessment
ECS7015P,Fundamentals of Game Design
ECS7015W,Project Management for Big Data Analysis
ECS7016P,Interactive Agents and Procedural Generation
ECS7016W,Project
ECS7017P,Computational Game Design
ECS7018P,Logic in Computer Science
ECS7018U,Logic in Computer Science
ECS7019U,Advanced Group Project
ECS7020P,Principles of Machine Learning
ECS7021P,5G Mobile and Beyond
ECS7021U,5G Mobile and Beyond
ECS7022P,Computational Creativity
ECS7023P,Programming for Artificial Intelligence and Data Science
ECS7024P,Statistics for Artificial Intelligence and Data Science
ECS7025P,"Ethics, Regulation and Law in Advanced Digital Information Processing and  Decis"
ECS7026P,Neural Networks and Deep Learning
ECS7027P,Machine Learning Deployment
ECS7028P,Data Semantics
ECS7028U,Data Semantics
ECS7029P,Research Methods
ECS702P,Mobile and WLAN Technologies
ECS702U,Mobile and WLAN Technologies
ECS7071P,Semi-structured Data Engineering
ECS707P,Fundamentals of DSP
ECS707U,Fundamentals of DSP
ECS708A,Machine Learning
ECS708P,Machine Learning
ECS708U,Machine Learning
ECS709P,Introduction to Computer Vision
ECS709U,Introduction to Computer Vision
ECS712P,Design for Human Interaction
ECS712U,Design for Human Interaction
